"pathway","gene"
"CHEN_LUNG_CANCER_SURVIVAL","ACTB"
"CHEN_LUNG_CANCER_SURVIVAL","ACTG1"
"CHEN_LUNG_CANCER_SURVIVAL","ANXA1"
"CHEN_LUNG_CANCER_SURVIVAL","ANXA8"
"CHEN_LUNG_CANCER_SURVIVAL","ATP5F1D"
"CHEN_LUNG_CANCER_SURVIVAL","CALU"
"CHEN_LUNG_CANCER_SURVIVAL","EPHX1"
"CHEN_LUNG_CANCER_SURVIVAL","FGF4"
"CHEN_LUNG_CANCER_SURVIVAL","GFAP"
"CHEN_LUNG_CANCER_SURVIVAL","GRK4"
"CHEN_LUNG_CANCER_SURVIVAL","GSTP1"
"CHEN_LUNG_CANCER_SURVIVAL","HPRT1"
"CHEN_LUNG_CANCER_SURVIVAL","HSPA5"
"CHEN_LUNG_CANCER_SURVIVAL","KRT1"
"CHEN_LUNG_CANCER_SURVIVAL","KRT19"
"CHEN_LUNG_CANCER_SURVIVAL","KRT7"
"CHEN_LUNG_CANCER_SURVIVAL","KRT8"
"CHEN_LUNG_CANCER_SURVIVAL","MYCN"
"CHEN_LUNG_CANCER_SURVIVAL","P4HB"
"CHEN_LUNG_CANCER_SURVIVAL","PDIA5"
"CHEN_LUNG_CANCER_SURVIVAL","PEBP1"
"CHEN_LUNG_CANCER_SURVIVAL","PGAM1"
"CHEN_LUNG_CANCER_SURVIVAL","PGK1"
"CHEN_LUNG_CANCER_SURVIVAL","PKM"
"CHEN_LUNG_CANCER_SURVIVAL","PLCB3"
"CHEN_LUNG_CANCER_SURVIVAL","RAB14"
"CHEN_LUNG_CANCER_SURVIVAL","SERPINA1"
"CHEN_LUNG_CANCER_SURVIVAL","SOD2"
"DING_LUNG_CANCER_BY_MUTATION_RATE","ACVRL1"
"DING_LUNG_CANCER_BY_MUTATION_RATE","DDR1"
"DING_LUNG_CANCER_BY_MUTATION_RATE","FGFR4"
"DING_LUNG_CANCER_BY_MUTATION_RATE","INSRR"
"DING_LUNG_CANCER_BY_MUTATION_RATE","IRS1"
"DING_LUNG_CANCER_BY_MUTATION_RATE","LMTK3"
"DING_LUNG_CANCER_BY_MUTATION_RATE","LRP1B"
"DING_LUNG_CANCER_BY_MUTATION_RATE","MAST4"
"DING_LUNG_CANCER_BY_MUTATION_RATE","MYB"
"DING_LUNG_CANCER_BY_MUTATION_RATE","NTRK2"
"DING_LUNG_CANCER_BY_MUTATION_RATE","PDGFRA"
"DING_LUNG_CANCER_BY_MUTATION_RATE","PIK3C2G"
"DING_LUNG_CANCER_BY_MUTATION_RATE","PRKDC"
"DING_LUNG_CANCER_BY_MUTATION_RATE","PTPRD"
"DING_LUNG_CANCER_BY_MUTATION_RATE","PTPRG"
"DING_LUNG_CANCER_BY_MUTATION_RATE","ROBO2"
"DING_LUNG_CANCER_BY_MUTATION_RATE","SMG1"
"DING_LUNG_CANCER_BY_MUTATION_RATE","TP53"
"DING_LUNG_CANCER_BY_MUTATION_RATE","TYK2"
"DING_LUNG_CANCER_BY_MUTATION_RATE","VAV1"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","AKAP9"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","ANKRD10"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","ANKRD46"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","ARMC1"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","ARMC8"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","ASH2L"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","ATP11B"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","BAG4"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","BRMS1L"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","BRWD1"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","C19orf12"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","CBLL1"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","CDC42SE2"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","CDK8"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","CEBPG"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","CHD7"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","CMAS"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","COG3"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","COG5"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","CTTN"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","DBR1"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","DCAF13"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","DCTD"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","DNAJC2"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","E2F3"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","EID2"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","EIF3H"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","FAM91A1"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","FBXO25"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","FBXO3"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","FBXO33"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","FBXW11"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","FIG4"
